epoch,lr,loss,iou,val_loss,val_iou
0,0.001,0.6531713606789709,0.5733835853186042,0.4968907333910465,0.6718485136047191
1,0.001,0.4811403626576066,0.6711467362578374,0.47219121605157854,0.6614556418714101
2,0.001,0.43736438564956187,0.6924094632506278,0.43251697197556493,0.6938479792531327
3,0.001,0.41059927819296715,0.7059070753769249,0.3293094262480736,0.7701820576659468
4,0.001,0.3809105292893946,0.7278184964607961,0.38805861920118334,0.7263782406308436
5,0.001,0.3628850498236716,0.7391259727483053,0.46237809732556345,0.6649714980639916
6,0.001,0.3449804195202887,0.7511557529295976,0.28698760010302066,0.7938857529742169
7,0.001,0.3275900817476213,0.7639265216127815,0.32734086476266383,0.7632613772487106
8,0.001,0.319764699973166,0.7689901228944055,0.26621054820716383,0.8104845336991916
9,0.001,0.3061518964357674,0.7794287422754569,0.2497486501932144,0.8252657395904011
10,0.001,0.29359989063814285,0.786615650674284,0.2648360401391983,0.8098594423136738
11,0.001,0.2796137446537614,0.7962100485864626,0.25693175978958604,0.8151688248347477
12,0.001,0.28614084627479314,0.7920381427605334,0.23152351081371308,0.8321432415327041
13,0.001,0.269482806045562,0.8062879447974552,0.24831821955740452,0.8189556064562165
14,0.001,0.2638386026956141,0.8100156868786568,0.2286504726856947,0.8390293771744759
15,0.001,0.2518025592900813,0.8188877366674301,0.2223079115152359,0.838963333691896
16,0.001,0.24370165229775012,0.8222146460517493,0.23810654804110526,0.8287962363918184
17,0.001,0.2484340072143823,0.817737215084559,0.2238204164430499,0.8385600963348656
18,0.001,0.24532369780354202,0.8227881181914386,0.21297345738857984,0.8420393051789054
19,0.001,0.24342351364903153,0.8250150581591468,0.23372468426823617,0.8299062524507157
20,0.001,0.22650178680196403,0.8360426142347072,0.2005182020366192,0.8542775039716336
21,0.001,0.23389904662035405,0.8295685866226584,0.20640847645699978,0.8487381105904868
22,0.001,0.22481179302558302,0.8367644658221065,0.2083823885768652,0.8480445447366961
23,0.001,0.2172121969051659,0.8417925069562269,0.2153437664732337,0.8405359520828382
24,0.001,0.20844034017063678,0.8470970503710811,0.19250263310968876,0.8572872675918914
25,0.001,0.2077048289589584,0.8486281124948695,0.20371759906411172,0.850621762797922
26,0.001,0.2119483846705407,0.8459362102479302,0.20935024470090866,0.8472904352970552
27,0.001,0.20245060650631785,0.8504169022725797,0.1919653821736574,0.8580850742215074
28,0.001,0.20034770034253596,0.8526843124490415,0.18687779419124126,0.8628675131348548
29,0.001,0.19301173239946365,0.8588070336717333,0.20487455371767282,0.849640958801236
