epoch,lr,loss,iou,val_loss,val_iou
0,0.001,0.8227148316800594,0.43937161397093244,0.7131278872489929,0.4959483170946279
1,0.001,0.610357222892344,0.5473864472916492,0.5680447913706302,0.5729793098325099
2,0.001,0.5231832638382912,0.5869148345118834,0.4541672274470329,0.6202254736158598
3,0.001,0.46965857204049827,0.6154723380930507,0.4577564224600792,0.6271468531057236
4,0.001,0.44345515221357346,0.6360062794538897,0.4225464463233948,0.6459515988463468
5,0.001,0.40105193443596365,0.6686350383070985,0.4034315399825573,0.668390184808193
6,0.001,0.3946685346774757,0.6717422313633379,0.38751502744853494,0.6673867362863559
7,0.001,0.38972124280408027,0.6666766215651563,0.36163210310041904,0.6923081677949732
8,0.001,0.37909391401335596,0.6824655689482624,0.3644091095775366,0.6896081959890861
9,0.001,0.3664229447953403,0.6883349974884928,0.3512054789811373,0.7002658397702718
10,0.001,0.3455939723178744,0.7059658388922931,0.33915275186300275,0.7078432365414925
11,0.001,0.3453233364969492,0.7042702387478091,0.3448736611753702,0.6997658216373789
12,0.001,0.3439013439230621,0.7065639816956979,0.33938394449651244,0.7096710506559156
13,0.001,0.3257884791120887,0.7177674919752649,0.3401887282729149,0.7021752357165665
14,0.001,0.3221133455634117,0.7215290816358731,0.32217257022857665,0.7244983139502494
15,0.001,0.31820640349760654,0.7231413607520418,0.319455286487937,0.7222923367074254
16,0.001,0.31785234361886977,0.726413176439479,0.30827844962477685,0.7318850398143794
17,0.001,0.30358598157763483,0.7379896205783523,0.33199878931045534,0.7182102991095656
18,0.001,0.3094287869054824,0.7311726536019505,0.3253213714808226,0.7239314764147655
19,0.001,0.29334191121160985,0.7462881912671738,0.30843042619526384,0.7300493425286063
20,0.001,0.29901565881446,0.7410150427059562,0.31396491304039953,0.7296306551626695
21,0.001,0.3005028155632317,0.7374109931718913,0.34095696546137333,0.7100736951334039
22,0.001,0.2986154706217349,0.7371564281735227,0.31389714404940605,0.7260417721344813
23,0.001,0.2907812513411045,0.7459909429102527,0.3007801868021488,0.7373382343972315
24,0.001,0.28440249590203165,0.7501445508166883,0.3058179959654808,0.7328669213522664
25,0.001,0.2842021707445383,0.7480859590701823,0.3120348010212183,0.7322643964168011
26,0.001,0.2777064293157309,0.7528622577199839,0.33832966089248656,0.7122301370347568
27,0.001,0.27768474724143744,0.7557234249563839,0.2961647417396307,0.7401418672513824
28,0.001,0.27255891254171727,0.7585791026675132,0.2942471504211426,0.7413042301663322
29,0.001,0.2672078451141715,0.7648410587555863,0.3171059753745794,0.7331185138690213
